[2026-03-06 15:48:11] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:11] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:11] level_map.py:197 INFO    : Moving character in Room
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:11] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:11] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:11] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:12] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:12] level_map.py:321 INFO    : Ogre makes a pattern move
